Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,041016,1888,79.8,170.6,1.5,0.0,10.8,13.5,0.0,10.4,27.4,6.6,72.1,76.8,469.5
IDCJAC0001,041016,1889,63.2,69.3,45.8,129.8,111.8,40.7,149.6,74.0,81.9,42.6,62.6,66.3,937.6
IDCJAC0001,041016,1890,null,null,339.1,null,null,null,null,null,null,null,null,null,null
IDCJAC0001,041016,1891,281.2,26.7,2.8,50.3,48.5,70.6,58.7,44.7,58.2,112.8,28.7,170.8,954.0
IDCJAC0001,041016,1892,68.1,29.2,79.2,98.7,68.4,22.9,32.1,17.8,101.7,146.6,49.6,90.7,805.0
IDCJAC0001,041016,1893,72.6,299.2,39.9,121.7,76.2,140.2,38.2,40.1,24.3,41.9,36.4,10.2,940.9
IDCJAC0001,041016,1894,95.0,28.6,130.5,56.6,29.5,83.5,10.9,13.8,65.8,126.9,12.2,79.0,732.3
IDCJAC0001,041016,1895,248.1,5.0,0.0,62.7,35.6,0.8,24.1,5.3,31.7,28.5,145.0,112.7,699.5
IDCJAC0001,041016,1896,48.0,89.5,20.6,12.2,27.7,20.3,92.2,7.6,25.6,14.9,92.2,79.1,529.9
IDCJAC0001,041016,1897,98.5,33.5,120.7,0.0,null,null,null,null,null,null,null,null,null
IDCJAC0001,041016,1898,161.3,36.1,40.9,12.4,28.4,28.2,8.4,6.6,47.0,48.0,31.5,29.5,478.3
IDCJAC0001,041016,1899,168.1,42.7,21.6,63.0,20.8,42.4,27.9,40.4,34.0,20.3,84.1,109.5,674.8
IDCJAC0001,041016,1900,10.2,61.0,59.4,102.4,80.0,27.9,35.6,57.7,36.3,0.0,64.3,29.7,564.5
IDCJAC0001,041016,1901,35.1,23.6,148.8,53.8,33.3,109.9,67.2,37.5,28.9,49.0,21.8,16.8,625.7
IDCJAC0001,041016,1902,39.3,14.7,22.9,26.4,0.0,12.4,0.0,10.2,18.0,27.9,37.6,80.8,290.2
IDCJAC0001,041016,1903,19.8,47.0,43.7,42.9,190.0,4.8,91.7,72.6,79.8,67.8,87.1,53.8,801.0
IDCJAC0001,041016,1904,80.0,108.0,200.2,14.2,83.1,4.1,50.3,7.6,66.0,34.0,46.7,74.9,769.1
IDCJAC0001,041016,1905,119.6,5.3,85.3,121.4,91.9,5.3,3.0,3.0,23.9,64.0,99.8,143.5,766.0
IDCJAC0001,041016,1906,136.7,110.0,123.4,8.6,14.5,0.0,38.4,94.7,79.5,109.7,64.5,124.0,904.0
IDCJAC0001,041016,1907,152.9,88.9,99.8,0.0,148.6,59.7,16.3,33.3,0.0,16.8,137.7,46.5,800.5
IDCJAC0001,041016,1908,9.4,160.3,113.8,0.0,34.8,27.4,4.6,43.2,53.1,73.7,93.5,34.8,648.6
IDCJAC0001,041016,1909,86.6,117.6,58.7,49.0,21.1,51.6,37.3,51.8,42.9,57.7,35.6,56.6,666.5
IDCJAC0001,041016,1910,183.1,120.1,76.5,38.4,20.6,141.2,52.8,23.1,34.3,76.2,86.9,163.1,1016.3
IDCJAC0001,041016,1911,153.2,52.8,65.0,10.9,43.7,0.0,27.2,13.5,34.3,83.3,51.1,37.8,572.8
IDCJAC0001,041016,1912,31.0,42.4,86.6,11.9,1.5,151.4,65.3,16.3,17.5,73.7,30.5,70.6,598.7
IDCJAC0001,041016,1913,64.5,56.9,45.5,10.2,83.0,97.5,34.0,0.0,25.8,32.7,27.9,29.8,507.8
IDCJAC0001,041016,1914,95.8,34.3,151.4,23.9,50.1,46.3,40.6,17.0,12.2,75.7,35.0,69.6,651.9
IDCJAC0001,041016,1915,31.8,14.2,18.2,13.3,32.2,13.4,55.5,25.7,22.1,5.9,32.8,41.5,306.6
IDCJAC0001,041016,1916,62.6,71.4,71.9,75.7,9.2,75.0,75.9,57.1,19.8,67.6,118.9,61.7,766.8
IDCJAC0001,041016,1917,119.4,101.7,73.3,21.8,0.0,0.0,15.7,23.9,156.5,48.8,203.4,98.3,862.8
IDCJAC0001,041016,1918,99.1,13.2,0.0,24.9,0.0,0.0,null,null,null,null,null,null,null
